ID	|	Name (EN)	|	Description	|
1060	|	Love Embrace (Leggings) D	|	Jojo's Outfit	|
1061	|	Love Embrace (Leggings) E	|	Jojo's Outfit	|
1062	|	Love Embrace (Leggings) F	|	Jojo's Outfit	|
1063	|	Love Embrace (Leggings) G	|	Jojo's Outfit	|
1064	|	Love Embrace (Leggings) H	|	Jojo's Outfit	|
1065	|	Love Embrace  (Boots) A	|	Jojo's Outfit	|
1066	|	Love Embrace  (Boots) B	|	Jojo's Outfit	|
1067	|	Love Embrace  (Boots) C	|	Jojo's Outfit	|
1068	|	Love Embrace  (Boots) D	|	Jojo's Outfit	|
1069	|	Love Embrace  (Boots) E	|	Jojo's Outfit	|
1070	|	Love Embrace  (Boots) F	|	Jojo's Outfit	|
1071	|	Love Embrace  (Boots) G	|	Jojo's Outfit	|
1072	|	Love Embrace  (Boots) H	|	Jojo's Outfit	|
1073	|	Cyber Strike (Body) A	|	Jojo's Outfit	|
1074	|	Cyber Strike (Body) B	|	Jojo's Outfit	|
1075	|	Cyber Strike (Body) C	|	Jojo's Outfit	|
1076	|	Cyber Strike (Body) D	|	Jojo's Outfit	|
1077	|	Cyber Strike (Body) E	|	Jojo's Outfit	|
1078	|	Cyber Strike (Body) F	|	Jojo's Outfit	|
1079	|	Cyber Strike (Body) G	|	Jojo's Outfit	|
1080	|	Cyber Strike (Body) H	|	Jojo's Outfit	|
1081	|	Cyber Strike (Leggings) A	|	Jojo's Outfit	|
1082	|	Cyber Strike (Leggings) B	|	Jojo's Outfit	|
1083	|	Cyber Strike (Leggings) C	|	Jojo's Outfit	|
1084	|	Cyber Strike (Leggings) D	|	Jojo's Outfit	|
1085	|	Cyber Strike (Leggings) E	|	Jojo's Outfit	|
1086	|	Cyber Strike (Leggings) F	|	Jojo's Outfit	|
1087	|	Cyber Strike (Leggings) G	|	Jojo's Outfit	|
1088	|	Cyber Strike (Leggings) H	|	Jojo's Outfit	|
1089	|	Cyber Strike (Boots) A	|	Jojo's Outfit	|
1090	|	Cyber Strike (Boots) B	|	Jojo's Outfit	|
1091	|	Cyber Strike (Boots) C	|	Jojo's Outfit	|
1092	|	Cyber Strike (Boots) D	|	Jojo's Outfit	|
1093	|	Cyber Strike (Boots) E	|	Jojo's Outfit	|
1094	|	Cyber Strike (Boots) F	|	Jojo's Outfit	|
1095	|	Cyber Strike (Boots) G	|	Jojo's Outfit	|
1096	|	Cyber Strike (Boots) H	|	Jojo's Outfit	|
1097	|	Starlight Diva (Body) A	|	Jojo's Outfit	|
1098	|	Starlight Diva (Body) B	|	Jojo's Outfit	|
1099	|	Starlight Diva (Body) C	|	Jojo's Outfit	|
1100	|	Starlight Diva (Body) D	|	Jojo's Outfit	|
1101	|	Starlight Diva (Body) E	|	Jojo's Outfit	|
1102	|	Starlight Diva (Body) F	|	Jojo's Outfit	|
1103	|	Starlight Diva (Body) G	|	Jojo's Outfit	|
1104	|	Starlight Diva (Body) H	|	Jojo's Outfit	|
1105	|	Starlight Diva (Leggings) A	|	Jojo's Outfit	|
1106	|	Starlight Diva (Leggings) B	|	Jojo's Outfit	|
1107	|	Starlight Diva (Leggings) C	|	Jojo's Outfit	|
1108	|	Starlight Diva (Leggings) D	|	Jojo's Outfit	|
1109	|	Starlight Diva (Leggings) E	|	Jojo's Outfit	|
1110	|	Starlight Diva (Leggings) F	|	Jojo's Outfit	|
1111	|	Starlight Diva (Leggings) G	|	Jojo's Outfit	|
1112	|	Starlight Diva (Leggings) H	|	Jojo's Outfit	|
1113	|	Starlight Diva (Boots) A	|	Jojo's Outfit	|
1114	|	Starlight Diva (Boots) B	|	Jojo's Outfit	|
1115	|	Starlight Diva (Boots) C	|	Jojo's Outfit	|
1116	|	Starlight Diva (Boots) D	|	Jojo's Outfit	|
1117	|	Starlight Diva (Boots) E	|	Jojo's Outfit	|
1118	|	Starlight Diva (Boots) F	|	Jojo's Outfit	|
1119	|	Starlight Diva (Boots) G	|	Jojo's Outfit	|
1120	|	Starlight Diva (Boots) H	|	Jojo's Outfit	|
1121	|	Serpent Tribe (Body) A	|	Jojo's Outfit	|
1122	|	Serpent Tribe (Body) B	|	Jojo's Outfit	|
1123	|	Serpent Tribe (Body) C	|	Jojo's Outfit	|
1124	|	Serpent Tribe (Body) D	|	Jojo's Outfit	|
1125	|	Serpent Tribe (Body) E	|	Jojo's Outfit	|
1126	|	Serpent Tribe (Body) F	|	Jojo's Outfit	|
1127	|	Serpent Tribe (Body) G	|	Jojo's Outfit	|
1128	|	Serpent Tribe (Body) H	|	Jojo's Outfit	|
1129	|	Serpent Tribe (Leggings) A	|	Jojo's Outfit	|
1130	|	Serpent Tribe (Leggings) B	|	Jojo's Outfit	|
1131	|	Serpent Tribe (Leggings) C	|	Jojo's Outfit	|
1132	|	Serpent Tribe (Leggings) D	|	Jojo's Outfit	|
1133	|	Serpent Tribe (Leggings) E	|	Jojo's Outfit	|
1134	|	Serpent Tribe (Leggings) F	|	Jojo's Outfit	|
1135	|	Serpent Tribe (Leggings) G	|	Jojo's Outfit	|
1136	|	Serpent Tribe (Leggings) H	|	Jojo's Outfit	|
1137	|	Serpent Tribe (Boots) A	|	Jojo's Outfit	|
1138	|	Serpent Tribe (Boots) B	|	Jojo's Outfit	|
1139	|	Serpent Tribe (Boots) C	|	Jojo's Outfit	|
1140	|	Serpent Tribe (Boots) D	|	Jojo's Outfit	|
1141	|	Serpent Tribe (Boots) E	|	Jojo's Outfit	|
1142	|	Serpent Tribe (Boots) F	|	Jojo's Outfit	|
1143	|	Serpent Tribe (Boots) G	|	Jojo's Outfit	|
1144	|	Serpent Tribe (Boots) H	|	Jojo's Outfit	|
1145	|	Pearl Empress (Body) A	|	Jojo's Outfit	|
1146	|	Pearl Empress (Body) B	|	Jojo's Outfit	|
1147	|	Pearl Empress (Body) C	|	Jojo's Outfit	|
1148	|	Pearl Empress (Body) D	|	Jojo's Outfit	|
1149	|	Pearl Empress (Body) E	|	Jojo's Outfit	|
1150	|	Pearl Empress (Body) F	|	Jojo's Outfit	|
1151	|	Pearl Empress (Body) G	|	Jojo's Outfit	|
1152	|	Pearl Empress (Body) H	|	Jojo's Outfit	|
1153	|	Pearl Empress (Leggings) A	|	Jojo's Outfit	|
1154	|	Pearl Empress (Leggings) B	|	Jojo's Outfit	|
1155	|	Pearl Empress (Leggings) C	|	Jojo's Outfit	|
1156	|	Pearl Empress (Leggings) D	|	Jojo's Outfit	|
1157	|	Pearl Empress (Leggings) E	|	Jojo's Outfit	|
1158	|	Pearl Empress (Leggings) F	|	Jojo's Outfit	|
1159	|	Pearl Empress (Leggings) G	|	Jojo's Outfit	|
1160	|	Pearl Empress (Leggings) H	|	Jojo's Outfit	|
1161	|	Pearl Empress (Boots) A	|	Jojo's Outfit	|
1162	|	Pearl Empress (Boots) B	|	Jojo's Outfit	|
1163	|	Pearl Empress (Boots) C	|	Jojo's Outfit	|
1164	|	Pearl Empress (Boots) D	|	Jojo's Outfit	|
1165	|	Pearl Empress (Boots) E	|	Jojo's Outfit	|
1166	|	Pearl Empress (Boots) F	|	Jojo's Outfit	|
1167	|	Pearl Empress (Boots) G	|	Jojo's Outfit	|
1168	|	Pearl Empress (Boots) H	|	Jojo's Outfit	|
3001	|	Bolt	|	Aerobot	|
3002	|	Pixi	|	Aerobot	|
3003	|	Finspark	|	Aerobot	|
3004	|	Cyanite	|	Aerobot	|
3005	|	Daemon	|	Aerobot	|
3006	|	Skye	|	Aerobot	|
3007	|	Cocoon	|	Aerobot	|
3008	|	Orbitron	|	Aerobot	|
3009	|	Glide	|	Aerobot	|
3010	|	Bolt Mark II	|	Aerobot	|
3011	|	Lovey	|	Aerobot	|
3012	|	Zetabot	|	Aerobot	|
3013	|	Roxie	|	Aerobot	|
3014	|	Puzzle	|	Aerobot	|
3015	|	Aura	|	Aerobot	|
3016	|	Goldon	|	Aerobot	|
3017	|	Meteoron	|	Aerobot	|
6001	|	Crown	|	Headgear	|
6002	|	Helm	|	Headgear	|
6003	|	Blade	|	Headgear	|
6004	|	Hibiscus	|	Headgear	|
6005	|	Magician Hat	|	Headgear	|
6006	|	Bunny	|	Headgear	|
6007	|	Straw Hat	|	Headgear	|
6008	|	Santa Hat	|	Headgear	|
6009	|	Poo	|	Headgear	|
6010	|	Cat Ear	|	Headgear	|
6011	|	Horn	|	Headgear	|
6012	|	Puppy Ear	|	Headgear	|
6013	|	Fox Mask	|	Headgear	|
6014	|	Ninja	|	Headgear	|
6015	|	Tiara	|	Headgear	|
6016	|	Saht Gaht	|	Headgear	|
6017	|	Panda Hat	|	Headgear	|
6018	|	Angel Wings	|	Headgear	|
6019	|	Golden Gori	|	Headgear	|
6020	|	Dice	|	Headgear	|
6021	|	Sprout	|	Headgear	|
6022	|	Goggle	|	Headgear	|
6023	|	Propeller	|	Headgear	|
6024	|	Kwg Bogwan	|	Headgear	|
6025	|	Money	|	Headgear	|
6026	|	Devil Wings	|	Headgear	|
6027	|	Heart	|	Headgear	|
6028	|	Fancy Highcap	|	Headgear	|
6029	|	Leaf	|	Headgear	|
6030	|	Tin Foil Hat	|	Headgear	|
6031	|	Star	|	Headgear	|
6032	|	Goglz Google	|	Headgear	|
